,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
[16  2  0  0 20  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  2  0  0 19  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[16  2  0  0 19  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[16  2  0  0 27  1  1  2],0.0,0.0,0.0,0.0,2.345058877832961e-07,2.345058877832961e-07,0.0,0.001008592506921571,0.0,0.0,2.345058877832961e-07,2.345058877832961e-07
[17  2  0  0 26  1  1  2],0.0001089630079141877,0.0005352214248086532,0.0,0.0,0.0,0.00048169928232778787,0.0,0.0,0.005946904720096146,0.0001089630079141877,0.0,0.0
[17  2  0  0 24  1  1  2],0.0,2.6824523662363888e-05,0.0,0.0,2.414207129612751e-06,0.0,0.0,0.0,2.414207129612751e-06,0.0,0.0,4.7377319497980255e-06
[17  2  1  0 24  1  1  2],0.0,4.690354630300045e-06,4.7377319497980255e-06,5.211505144777827e-05,8.90531952598461e-06,8.90531952598461e-06,0.0001440617355998077,0.0,0.00014832569435462592,0.0008807245230482857,0.01615092124668955,0.0007934434863741106
[18  2  1  0 24  1  1  2],0.0,0.0,0.0016006859511089745,0.0016006859511089745,0.0,0.0010484930530601539,7.829981227674102e-06,0.0,0.0011816426463860876,0.0014535829122020595,0.001135134154851474,0.0
[18  2  1  1 24  1  1  2],0.0007571832003845116,0.00328180169575424,0.0007803606933373236,0.0008054612970858183,0.001459507824388103,0.00234954504612258,0.008329015204229628,0.0007571832003845116,0.0,0.008118188615892075,0.0008938292941099318,0.0007571832003845116
[18  2  1  1 22  1  1  2],0.0050625217271448785,0.0011330756433860112,0.012048372034977238,0.015001424430618714,0.002979023996634961,0.014439358401518634,0.009668892950911523,0.009293175158298025,0.11918311248968808,0.0009262705216316989,0.0026246654138840603,0.03658731790962483
[19  2  1  1 22  1  1  2],0.00043140252907345486,0.017297567377386004,0.00018032699248877714,0.01035580083846609,0.015345478315028326,0.00016865585521410275,0.00921676579197698,0.009199421516695257,0.08632410898269816,0.10119363668364781,-0.8,0.002713887754412088
[18  2  1  2 20  1  1  2],0.24041284792947037,0.4030220982300109,0.3324166383800666,0.4461910093917604,0.2683681496736622,0.29458904776069295,0.20507381613989403,0.2498519341413803,0.24166576164316853,0.3184468666234427,0.1859359205029419,0.3705533648761151
[18  2  1  3 18  1  1  2],0.570441420578778,0.94617631713119,0.31659165620385,0.33395920001457335,0.6958016530166045,0.6332835025203256,0.7485902903323021,0.5080098461877897,0.9259934832304422,0.48894360501785394,0.28221784489927787,0.5149208001751332
[18  2  1  4 16  1  1  2],0.6043550091755572,0.5433843709413092,0.941947365366784,1.0040013470817926,0.2637005939637215,-0.34082440455176055,0.709448219690409,0.44308577475286537,0.19204171939057801,1.595047166505751,0.7265022565387932,0.6285810948990989
[18  2  1  5 16  1  1  3],0.0,0.0,0.10800000000000004,0.0,0.0,0.10800000000000004,0.0,0.8,-0.8398406601281991,0.0,0.0,0.0035786925192109313
[18  2  1  5 16  1  1  2],0.09869914800000001,0.0,0.0,0.0,0.02462400000000001,0.0,0.012960000000000005,0.0,0.17744211450504088,0.04481018346474038,0.0,0.0
