,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
"(16, 2, 0, 1, 25, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(15, 2, 0, 1, 25, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(16, 2, 0, 1, 23, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(16, 2, 0, 1, 22, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(17, 2, 0, 1, 22, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 0, 1, 22, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 0, 2, 22, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(17, 2, 0, 2, 22, 2, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(17, 2, 0, 2, 21, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(17, 2, 0, 3, 21, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 0, 3, 19, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 0, 3, 19, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 0, 3, 17, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 0, 3, 17, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 0, 3, 17, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 0, 3, 17, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 0, 2, 19, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 0, 2, 19, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 2, 0, 2, 19, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 0, 3, 17, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 0, 3, 19, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 1, 3, 19, 2, 1, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9702568486848676e-12,0.0,0.0
"(18, 2, 1, 3, 19, 2, 1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.944073972810726e-13,0.0,0.0,0.0
"(19, 2, 1, 3, 19, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 1, 3, 19, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1895147989845853e-15,0.0,0.0
"(18, 2, 1, 4, 17, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,7.434901221037512e-19,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 1, 4, 15, 2, 1, 4)",0.0,0.0,0.0,1.0994407334963443e-12,5.516077452524484e-19,0.0,1.1149898301181515e-12,0.0,0.0,0.0,5.766130530427405e-17,0.0
"(19, 2, 1, 4, 14, 2, 1, 4)",0.0,0.0,0.0,0.0,2.195790049367811e-12,0.0,0.0,0.0,3.572797541986116e-21,1.2233181341511587e-13,0.0,0.0
"(18, 2, 1, 4, 14, 2, 1, 4)",0.0,0.0,0.0,0.0,1.8543617908277948e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 1, 2, 18, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,1.0394544485354563e-14,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 2, 1, 1, 20, 2, 1, 4)",4.4515310880510635e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 1, 1, 20, 2, 1, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.435616109400764e-15,0.0,0.0,0.0,0.0
"(19, 2, 1, 0, 22, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(19, 2, 1, 1, 20, 2, 1, 5)",0.0,0.0,0.0,2.327713023726064e-24,0.0,0.0,0.0,0.0,0.0,0.0,2.0327198572875384e-23,0.0
"(20, 2, 1, 2, 18, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2128415419810577e-21,0.0
"(19, 2, 1, 2, 18, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.791056241013389e-14,0.0,0.0,0.0,0.0
"(19, 2, 1, 2, 17, 2, 1, 5)",0.0,0.0,0.0,3.2603361277442307e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.055323454969507e-13,0.0
"(19, 2, 1, 1, 19, 2, 1, 5)",0.0,0.0,0.0,0.0,0.0,3.261983196504946e-14,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 2, 1, 1, 18, 2, 1, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 2, 1, 1, 18, 2, 1, 7)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(21, 2, 1, 1, 18, 2, 1, 7)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(20, 2, 1, 0, 20, 2, 1, 7)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(21, 2, 1, 0, 20, 2, 1, 7)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(21, 1, 1, 0, 22, 2, 1, 7)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(22, 1, 1, 0, 22, 2, 1, 8)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(21, 1, 1, 0, 22, 2, 1, 8)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(21, 1, 1, 0, 22, 2, 1, 9)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(21, 1, 0, 1, 20, 2, 1, 9)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
